name,artist,duration_ms
Have Love Will Travel (feat. Flo Mega),Lefties Soul Connection,188409
Geralt of Rivia,"Sonya Belousova, Giona Ostinelli",112186
Василиск,Марлины,124675
I Do,Chingy,237958
Juke Box Hero / I Love Rock 'n' Roll,Tom Cruise,143266
Everybody Walkin' This Land,Home Free,187371
Word Up - Cameo Cover,"Devil's Train, Mystic Prophecy",199484
Bombs Away,Prozak,189373
Burn It to the Ground,Nickelback,212346
Paranoid,Black Sabbath,168440
Walkers,SPLITBREED,213617
The River,Various Artists,215699
Тризна,HELVEGEN,191454
Rock & Roll Queen - Radio Edit,The Subways,168693
Gotta Get Me Some,Nickelback,221680
Blinding Lights,Saint Asonia,183357
Brain Stew,Green Day,193000
"Nerevar Rising - From ""The Elder Scrolls III: Morrowind""","Jeremy Soule, Czech National Symphony Orchestra, Paul Bateman",91075
W.T.P.,Eminem,238173
Blue On Black,Five Finger Death Punch,274615
Серо-жёлтая весна,Александр Пушной,174434
Shark Attack,Limp Bizkit,206626
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,212040
It’s My Birthday,will.i.am,252613
MONSTERS,Shinedown,248373
Blinding Lights,Punk Rock Factory,181333
War of Change,Thousand Foot Krutch,231665
(Can't Get My) Head Around You,The Offspring,134760
Wild Blood,"Sam Tinnesz, Pep Squad",188573
Hocus Pocus - Original Mix,Marnik,242341
За закрытой дверью,Noize MC,214053
Warriors,Imagine Dragons,171040
The State of Massachusetts (Made Famous by Dropkick Murphys),Celtic Tribute Players,194946
"Young, Wild & Free",Various Artists,207333
Бассейн,Noize MC,216720
Beat the Devil's Tattoo,Black Rebel Motorcycle Club,226760
Surfin' Bird,The Malibus,143400
Savior,Rise Against,242280
Blood // Water - King Kavalier Remix,grandson,179374
Burn MF,Five Finger Death Punch,217847
Невеста Полоза,Мельница,272346
Sun Is up (Play & Win Radio Edit),Various Artists,224531
Age Of The Dragon,Miracle Of Sound,237478
Getting Away With Murder,Papa Roach,191372
Drawn in Blood,Guardians Of Time,202533
Walk Man,Tiny Meat Gang,165937
For Whom the Bell Tolls - Metallica Cover,Sabaton,322896
Misery,Eva Under Fire,221249
Fukurou,Myun,288934
Girls Along the Road,Fiddler's Green,219000
Lost Chapter,Pentakill,229333
23,Mike WiLL Made-It,252520
Fairy Tail - Overture - Main Theme,Geek Music,148557
Santiana,The Longest Johns,174500
Good Morning,Max Frost,153613
Raised on Rock,Scorpions,238720
Heartbreaker,Pat Benatar,209360
Big Gun,AC/DC's Greatest Tribute Band,263636
Girls On the Dance Floor,Far East Movement,234373
Похуисты,Noize MC,278760
